City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
563,Warrnambool,AU,56.52,scattered clouds,-38.3833,142.4833,Lady Bay Resort
564,Dawei,MM,74.98,overcast clouds,14.0833,98.2,Hotel Dawei
565,Mitu,CO,73.22,light rain,1.1983,-70.1733,
568,Uarini,BR,76.19,scattered clouds,-2.99,-65.1083,
569,Vila Velha,BR,71.55,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
570,Marrakesh,MA,64.47,clear sky,31.6315,-8.0083,Les Jardins de La Koutoubia
573,Mildura,AU,59.27,clear sky,-34.2,142.15,Mercure Hotel Mildura
574,Gaoyou,CN,55.38,overcast clouds,32.7858,119.4278,如家快捷酒店
575,Maanshan,CN,55.45,overcast clouds,31.6957,118.4983,天目湖酒店
579,Ilhabela,BR,69.71,scattered clouds,-23.7781,-45.3581,Ilha Flat Hotel
581,Quatre Cocos,MU,68.11,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
582,Vao,NC,76.28,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
584,Codrington,AU,57.13,broken clouds,-38.2667,141.9667,
585,Pancevo,RS,53.8,light rain,44.8708,20.6403,Miss Motel
588,Butte,US,68.22,clear sky,39.6499,-121.5677,Meadowbrook Oaks Mobile Home Park
596,Nalut,LY,60.4,clear sky,30.3333,10.85,
597,Mascote,BR,71.83,moderate rain,-15.5631,-39.3025,Fazenda Novo ORIENTE
598,Tomatlan,MX,78.4,clear sky,19.9333,-105.25,El Salvial
