City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
284,Yoro,HN,15.1333,-87.1333,81.12,65,40,4.61,scattered clouds
285,Airai,TL,-8.9266,125.4092,68.02,73,100,1.45,overcast clouds
286,Taltal,CL,-25.4,-70.4833,63.63,79,19,2.75,few clouds
287,Griffith,US,41.5284,-87.4237,34.11,94,100,10.36,overcast clouds
288,Nakhon Thai,TH,17.1006,100.8374,73.44,94,39,2.55,scattered clouds
289,Holland,US,42.7875,-86.1089,34.41,93,100,3.0,light snow
290,Grand Forks,US,47.9417,-97.4337,21.13,86,100,5.75,mist
291,Salalah,OM,17.0151,54.0924,73.49,56,0,4.61,clear sky
292,Pimentel,PE,-6.8367,-79.9342,64.69,94,75,18.41,broken clouds
293,Kutum,SD,14.2,24.6667,61.36,29,4,7.65,clear sky
294,Ashqelon,IL,31.6693,34.5715,62.8,64,31,5.59,scattered clouds
295,Newport,GB,51.5877,-2.9984,48.81,89,100,13.56,light rain
296,Erdaojiang,CN,41.7764,126.0319,34.77,59,8,2.53,clear sky
297,Dubbo,AU,-32.25,148.6167,59.13,41,0,8.05,clear sky
298,Margate,GB,51.3813,1.3862,54.9,94,98,4.0,overcast clouds
299,Hopkinsville,US,36.8656,-87.4886,42.75,68,60,9.64,broken clouds
300,Raudeberg,NO,61.9875,5.1352,47.07,40,0,3.76,clear sky
301,Yulara,AU,-25.2406,130.9889,74.25,46,13,18.28,few clouds
302,Cap Malheureux,MU,-19.9842,57.6142,68.47,70,1,5.01,clear sky
303,Clyde River,CA,70.4692,-68.5914,3.43,85,100,21.85,light snow
304,Ebebiyin,GQ,2.1511,11.3353,68.11,99,99,3.51,overcast clouds
305,Santiago Del Estero,AR,-27.7951,-64.2615,90.03,22,1,11.9,clear sky
306,Oranjemund,NA,-28.55,16.4333,59.63,89,18,10.96,few clouds
307,Visnes,NO,59.3556,5.2242,47.21,46,3,26.46,clear sky
308,Sines,PT,37.9562,-8.8698,63.28,95,94,7.0,overcast clouds
309,Georgetown,MY,5.4112,100.3354,78.73,98,20,3.44,few clouds
310,Qasigiannguit,GL,68.8193,-51.1922,16.05,95,100,4.97,overcast clouds
311,Trofors,NO,65.5333,13.4063,21.07,48,12,5.1,few clouds
312,Aurillac,FR,44.9167,2.45,50.88,82,100,2.3,light rain
313,Arica,CL,-18.475,-70.3042,67.55,68,0,6.91,clear sky
314,Ojinaga,MX,29.5667,-104.4167,56.35,41,0,14.97,clear sky
315,Lakes Entrance,AU,-37.8811,147.981,60.17,59,46,10.38,light rain
316,Khonsa,IN,27.0167,95.5667,54.32,85,0,3.42,clear sky
317,Guerrero Negro,MX,27.9769,-114.0611,73.56,28,0,6.26,clear sky
318,Kineta,GR,37.9709,23.2183,64.83,72,46,7.63,scattered clouds
319,Walvis Bay,NA,-22.9575,14.5053,60.1,94,0,11.5,clear sky
320,Zhicheng,CN,30.2956,111.5047,52.59,76,1,0.81,clear sky
321,Almaznyy,RU,48.0448,40.045,38.32,78,100,6.26,light rain
322,Nuuk,GL,64.1835,-51.7216,25.41,74,100,11.5,light snow
323,Hasaki,JP,35.7333,140.8333,50.29,63,53,17.13,broken clouds
324,West Bay,KY,19.3667,-81.4167,82.47,79,20,11.5,few clouds
325,Angoche,MZ,-16.2325,39.9086,76.06,84,22,4.38,light rain
326,Saint-Paul,RE,-21.0096,55.2707,71.69,72,26,0.78,scattered clouds
327,Puerto Madero,MX,14.7208,-92.4215,84.4,84,40,11.5,scattered clouds
328,Chumphon,TH,10.3333,98.8333,70.97,98,98,2.08,overcast clouds
329,Galle,LK,6.0367,80.217,75.67,87,94,4.21,overcast clouds
330,Samarai,PG,-10.6167,150.6667,85.51,72,95,14.54,overcast clouds
331,Hobe Sound,US,27.0595,-80.1364,80.58,80,40,0.0,scattered clouds
332,Pouebo,NC,-20.4,164.5667,82.51,67,93,3.27,overcast clouds
333,Omsukchan,RU,62.5333,155.8,-25.35,97,67,4.05,broken clouds
334,Chaplynka,UA,46.3651,33.5403,48.33,92,77,7.4,broken clouds
335,Sur,OM,22.5667,59.5289,75.52,77,8,3.0,clear sky
336,Lumsden,CA,50.6501,-104.8678,22.01,89,100,18.1,overcast clouds
337,Talaya,RU,61.3833,152.75,-20.43,97,100,1.45,overcast clouds
338,Sangar,RU,63.9242,127.4739,-22.56,84,90,13.69,overcast clouds
339,Bubaque,GW,11.2833,-15.8333,82.53,73,100,8.55,overcast clouds
340,Tessalit,ML,20.1986,1.0114,69.31,15,31,7.4,scattered clouds
341,Bandarbeyla,SO,9.4942,50.8122,77.86,68,14,16.22,few clouds
342,Mbuji-Mayi,CD,-6.15,23.6,68.0,95,100,1.43,overcast clouds
343,Lorengau,PG,-2.0226,147.2712,84.74,58,87,6.13,overcast clouds
344,Karema,TZ,-6.8205,30.4389,70.2,85,68,3.36,moderate rain
345,Ha Giang,VN,22.8333,104.9833,73.31,99,95,1.59,overcast clouds
